Date Announced,Company,Jobs Announced/Planned,Jobs Already Cut,Status,Job Position/Category,Timeline,Reason Given,Source Link
2023-05-01,IBM,"7,800",0,Hiring Freeze,Back-office / Human Resources,Ongoing (5-year period),"CEO Arvind Krishna told Bloomberg: 'I could easily see 30% of that getting replaced by AI and automation over a five-year period.' Paused hiring for ~26,000 non-customer-facing roles. ~7,800 roles expected to not be filled.",https://www.reuters.com/technology/ibm-pause-hiring-plans-replace-7800-jobs-with-ai-bloomberg-news-2023-05-01/
2023-05-16,Vodafone,"11,000",Unknown,In Progress,Corporate / Operations,Over 3 years (by ~2026),"New CEO Margherita Della Valle announced 11,000 cuts over three years to 'regain competitiveness.' Part of broader efficiency and technology modernization.",https://www.reuters.com/business/media-telecom/vodafone-cut-11000-jobs-forecasts-flat-earnings-2023-05-16/
2023-05-18,BT Group,"55,000","10,000",In Progress,"Network engineers, maintenance, customer service",By 2030,"CEO Philip Jansen: ~10,000 roles to be replaced by AI; rest from fibre rollout completion. Called generative AI 'a significant leap forward.' BT will be 'a leaner business with a brighter future.'",https://www.reuters.com/business/media-telecom/bt-meets-expectations-with-5-rise-full-year-earnings-2023-05-18/
2024-09-01,Klarna,"2,000",Unknown,Announced,Mixed — via hiring freeze and attrition,,"CEO Siemiatkowski: workforce dropped from 5,000 to 3,800 (24% in one year) through hiring freeze and natural attrition enabled by AI. AI chatbot doing work of 700 agents. Plans to reach 2,000 employees.","https://www.fxcintel.com/research/reports/ct-klarna-ai-job-cuts


"
2025-04-24,SAP,"1,100–2,200",Unknown,Announced,Internal operations,2025,"Shift toward 'Business AI'; automation reducing internal staffing needs. Originally announced up to 10,000 could be affected.",https://fortune.com/2025/09/24/sap-cfo-dominik-asam-320-billion-software-firm-ai-allow-workforce-reduction-but-if-done-wrong-could-be-business-catastrophe/
2025-11-01,HP Inc.,"6,000",Unknown,Announced,"Product development, operations, customer support",By 2028,"AI-driven productivity and automation. Earnings presentation cited 'workforce reductions, platform simplification' and 'adoption and facilitation of artificial intelligence.'",https://www.reuters.com/business/hp-cut-about-6000-jobs-by-2028-ramps-up-ai-efforts-2025-11-25/
2025-11-20,Lufthansa,"4,000",Unknown,Announced,Administrative roles,By 2030,Eliminate administrative positions as automation and AI rolled out. 'Profound changes by digitalisation and AI will lead to greater efficiency.',https://www.latimes.com/business/story/2025-11-20/ai-cited-in-close-to-50-000-job-cuts-as-tech-giants-accelerate-automation
2026-01-27,Pinterest,700,Mixed (~15% of workforce),Announced,,Through 2026,"Spokesperson: 'making organizational changes to further deliver on our AI-forward strategy, which includes hiring AI-proficient talent.'",https://www.cbsnews.com/news/pinterest-layoffs-workforce-artificial-intelligence/
2026-01-27,UPS,"30,000",Unknown,Announced,Operational & Facility Staff,Through 2026,"Strategic shift toward a ""technology-driven operation"" and automation to handle higher volumes with fewer facilities and human hours.",https://www.5newsonline.com/article/news/nation-world/ups-cuts-thirty-thoudand-jobs-close-facilities-2026/507-03e10786-3dd2-4968-a536-e250a8dea134
2026-01-28,ASML,"1,300",Mixed (~3.8% of workforce),Announced,,,"Efficiency-driven cuts; 'choosing to make these changes at a moment of strength.' Further 1,300 planned.",https://www.reuters.com/business/asml-q4-bookings-beat-expectations-chipmakers-order-more-satisfy-ai-demand-2026-01-28/
2026-02-12,British American Tobacco,Unknown,Unknown,Announced,Unknown,Operations,New AI-driven productivity programme expected to lead to job cuts. Number not specified.,https://www.reuters.com/business/british-american-tobacco-annual-profit-rises-23-2026-02-12/
2026-02-25,SEB (French appliances),"2,100",Unknown,Announced,Manufacturing / Operations,By 2027,"Restructuring plan to 'take full advantage of the possibilities offered by AI.' Up to 2,100 jobs impacted by 2027.",https://finance.yahoo.com/news/factbox-companies-cutting-jobs-investments-163752693.html
2026-01-13,Meta,"~15,800 (20% of ~79,000)",0,Announced,Mixed / Company-wide,Not specified,To offset AI infrastructure spending (up to $135B capex in 2026). Reuters reported executives told senior leaders to begin preparing for cuts. Zuckerberg (Jan earnings call): 'We're starting to see projects that used to require big teams now be accomplished by a single very talented person.' Meta spokesperson: 'This is speculative reporting about theoretical approaches.',https://www.reuters.com/business/world-at-work/meta-planning-sweeping-layoffs-ai-costs-mount-2026-03-14/
2026-03-19,HSBC,"Up to 20,000 (~10% of 208,720)",0,Announced (early stage),Non-client-facing / Global service centers / Back office,3-5 years (medium-term),"CEO Georges Elhedery betting on AI to shrink middle and back office footprint. CFO Pam Kaur cited AI cost efficiencies: 'The real shift is really trying to drive operating leverage...focusing on the benefits we can get through AI, whether it's on better productivity around the revenue line or just the cost benefit.'",https://www.reuters.com/business/world-at-work/hsbc-mulls-job-cuts-that-could-impact-around-20000-roles-bloomberg-news-reports-2026-03-19/